holdingId,assetId,accountId,placeOfSafekeeping,holdingType,settQnty,pendQnty,pendRcvQntty,pendDlvrQntty,date
24,ASSET1,ACC1,SAFE1,TYPE1,20,2,1,0,2025-06-14
25,ASSET2,ACC2,SAFE2,TYPE2,21,3,2,1,2025-06-14
26,ASSET3,ACC3,SAFE3,TYPE3,22,4,3,2,2025-06-14
27,ASSET4,ACC4,SAFE1,TYPE1,23,5,4,3,2025-06-14
28,ASSET1,ACC5,SAFE2,TYPE2,24,6,5,4,2025-06-14
29,ASSET2,ACC6,SAFE3,TYPE3,25,7,6,5,2025-06-14
30,ASSET3,ACC1,SAFE1,TYPE1,26,8,7,6,2025-06-14
31,ASSET4,ACC2,SAFE2,TYPE2,17,9,8,7,2025-06-14
32,ASSET1,ACC3,SAFE3,TYPE3,18,10,9,8,2025-06-14
33,ASSET2,ACC4,SAFE1,TYPE1,19,11,10,9,2025-06-14
34,ASSET5,ACC7,SAFE2,TYPE2,30,12,11,10,2025-06-14
35,ASSET6,ACC8,SAFE3,TYPE3,31,13,12,11,2025-06-14
36,ASSET7,ACC9,SAFE1,TYPE1,32,14,13,12,2025-06-14

