holdingId,assetId,accountId,placeOfSafekeeping,holdingType,settQnty,pendQnty,pendRcvQntty,pendDlvrQntty,date
1,ASSET1,ACC1,SAFE1,TYPE1,10,2,1,0,2025-06-12
2,ASSET2,ACC2,SAFE2,TYPE2,11,3,2,1,2025-06-12
3,ASSET3,ACC3,SAFE3,TYPE3,12,4,3,2,2025-06-12
4,ASSET4,ACC4,SAFE1,TYPE1,13,5,4,3,2025-06-12
5,ASSET1,ACC5,SAFE2,TYPE2,14,6,5,4,2025-06-12
6,ASSET2,ACC6,SAFE3,TYPE3,15,7,6,5,2025-06-12
7,ASSET3,ACC1,SAFE1,TYPE1,16,8,7,6,2025-06-12
8,ASSET4,ACC2,SAFE2,TYPE2,17,9,8,7,2025-06-12
9,ASSET1,ACC3,SAFE3,TYPE3,18,10,9,8,2025-06-12
10,ASSET2,ACC4,SAFE1,TYPE1,19,11,10,9,2025-06-12

